participant_id,age,trial_id,stimulus,response,rt
497,37.0,1,take crest,crest CAUSES take,19121.6800003313
497,37.0,2,set boat,boat ABOUT set,7958.43999972567
497,37.0,3,sweat band,band FOR sweat,8061.4049998112
497,37.0,4,music serial,serial ABOUT music,20852.9349998571
497,37.0,5,stone ware,ware MADE OF stone,12033.4350001067
497,37.0,6,number sense,sense ABOUT number,18050.6000001915
497,37.0,7,torpedo wit,wit HAS torpedo,15735.6250002049
497,37.0,8,body girl,girl FOR body,14287.9599998705
497,37.0,9,broad driver,driver IS broad,9150.14000004157
497,37.0,10,patron stays,stays LOCATION IS patron,11016.6899999604
497,37.0,11,fort shape,shape IS fort,8322.36499991268
497,37.0,12,girl man,man IS girl,6310.21999986842
497,37.0,13,ship head,head IS ship,5749.26499975845
497,37.0,14,sound craft,craft ABOUT sound,8200.7500003092
497,37.0,15,band hole,hole IS band,8841.0050002858
497,37.0,16,copper wood,wood USES copper,8034.18499976397
497,37.0,17,crew day,day MADE OF crew,7111.77499964833
497,37.0,18,level trunk,trunk USED BY level,4434.37000038102
497,37.0,19,soul mother,mother CAUSES soul,6550.79500004649
497,37.0,20,slap chord,chord MAKES slap,6275.4000001587
497,37.0,21,ship club,club IS ship,4832.39000011235
497,37.0,22,brick shadow,brick HAS shadow,7857.05999983475
497,37.0,23,process tower,tower BY process,7879.78499988094
497,37.0,24,techno lapse,lapse IS techno,8673.88999974355
497,37.0,25,mile set,set LOCATION IS mile,6617.75500001386
497,37.0,26,comic ends,ends DERIVED FROM comic,6486.97499977425
497,37.0,27,chapter spot,spot USES chapter,12082.4649999849
497,37.0,28,crank pump,pump USES crank,4752.65000015497
497,37.0,29,white rush,rush IS white,7993.43499960378
497,37.0,30,window hole,window LOCATION IS hole,8918.58000028878
497,37.0,31,battle note,note DURING battle,11422.7849999443
497,37.0,32,farm mill,mill USES farm,9311.1350000836
497,37.0,33,sage medal,medal USED BY sage,6195.62999997288
497,37.0,34,guess county,county USES guess,6013.31999991089
497,37.0,35,high robin,robin IS high,8668.20499999449
497,37.0,36,toe bridge,bridge USES toe,9096.04500001296
497,37.0,37,buffet tide,tide IS buffet,6591.69000014663
497,37.0,38,tea time,time LOCATION IS tea,5346.86500020325
497,37.0,39,night ship,night LOCATION IS ship,5679.60999999195
497,37.0,40,sand ache,ache FOR sand,5275.6099998951
497,37.0,41,bed maid,maid FOR bed,6868.22499986738
497,37.0,42,goal game,game IS goal,8086.8900003843
497,37.0,43,weather sail,weather HAS sail,12191.4599998854
497,37.0,44,rail piece,piece MAKES rail,3824.50999971479
497,37.0,45,school mill,mill LOCATION IS school,5898.16999994218
497,37.0,46,web engine,engine HAS web,4597.37000009045
497,37.0,47,saw meat,meat CAUSED BY saw,4208.34999997169
497,37.0,48,snow man,man MADE OF snow,6407.11499983445
497,37.0,49,boat ship,ship USES boat,6344.1749997437
497,37.0,50,beach stack,stack DURING beach,5477.84499963745
497,37.0,51,major poster,poster FOR major,4269.28999973461
497,37.0,52,farm flour,flour MAKES farm,5207.320000045
497,37.0,53,chair soil,chair HAS soil,5775.3749997355
497,37.0,54,dish panel,panel USED BY dish,10504.0950002149
497,37.0,55,harvest cycle,cycle MADE OF harvest,5848.79000019282
1776,27.0,1,censor child,child IS censor,16944.1850000001
1776,27.0,2,dot deck,deck HAS dot,8590.83999999995
1776,27.0,3,pitch view,view LOCATION IS pitch,21226.6099999999
1776,27.0,4,drug box,box FOR drug,8033.77499999988
1776,27.0,5,dog boat,boat FOR dog,5341.92499999994
1776,27.0,6,cloak robe,robe MAKES cloak,9326.63500000014
1776,27.0,7,stand quake,quake CAUSES stand,21018.46
1776,27.0,8,sweat band,band MAKES sweat,12160.425
1776,27.0,9,tea time,time FOR tea,8420.04999999993
1776,27.0,10,fist medium,fist LOCATION IS medium,29444.495
1776,27.0,11,life girl,girl HAS life,4389.22999999998
1776,27.0,12,hog case,case FOR hog,7633.59000000014
1776,27.0,13,paint paper,paper FOR paint,5777.84500000006
1776,27.0,14,film bed,bed HAS film,6425.79000000001
1776,27.0,15,razor story,story USES razor,12335.775
1776,27.0,16,part brush,part HAS brush,12468.7899999999
1776,27.0,17,script flat,flat CAUSED BY script,14791.0050000001
1776,27.0,18,grass soil,soil FOR grass,9946.375
1776,27.0,19,tow motor,motor FOR tow,20846.155
1776,27.0,20,sword well,well USES sword,13012.79
1776,27.0,21,spell energy,spell HAS energy,8169.6999999999
1776,27.0,22,clergy church,clergy LOCATION IS church,9075.96500000003
1776,27.0,23,dive essay,dive HAS essay,13353.39
1776,27.0,24,cliff sphere,sphere DERIVED FROM cliff,19011.59
1776,27.0,25,lamp foot,foot FOR lamp,7347.39999999985
1776,27.0,26,custom dad,dad IS custom,6245.11499999993
1776,27.0,27,january caste,caste LOCATION IS january,10831.9449999999
1776,27.0,28,stone ware,ware MADE OF stone,8440.64000000001
1776,27.0,29,pill blue,blue IS pill,6319.39999999991
1776,27.0,30,file pit,file LOCATION IS pit,7336.83500000008
1776,27.0,31,score finish,finish MAKES score,10254.9449999999
1776,27.0,32,cloud fit,fit FOR cloud,14615.0649999999
1776,27.0,33,camp end,camp LOCATION IS end,7904.26999999996
1776,27.0,34,sword right,sword LOCATION IS right,3755.14499999984
1776,27.0,35,bag power,bag HAS power,5195.02499999997
1776,27.0,36,hook people,people USES hook,6485.92500000022
